name,repo,repo_canonical,stratum,discipline,ecosystem,source
horovod,horovod/horovod,horovod/horovod,hpc,hpc,frame,sc26_corpus
taskflow,taskflow/taskflow,taskflow/taskflow,hpc,hpc,frame,sc26_corpus
FluidX3D,ProjectPhysX/FluidX3D,projectphysx/fluidx3d,hpc,hpc,frame,sc26_corpus
spack,spack/spack,spack/spack,hpc,hpc,frame,sc26_corpus
thread-pool,bshoshany/thread-pool,bshoshany/thread-pool,hpc,hpc,frame,sc26_corpus
cuda-oxide,NVlabs/cuda-oxide,nvlabs/cuda-oxide,hpc,hpc,frame,sc26_corpus
blis,flame/blis,flame/blis,hpc,hpc,frame,sc26_corpus
kokkos,kokkos/kokkos,kokkos/kokkos,hpc,hpc,frame,sc26_corpus
mfem,mfem/mfem,mfem/mfem,hpc,hpc,frame,sc26_corpus
hermit-rs,hermit-os/hermit-rs,hermit-os/hermit-rs,hpc,hpc,frame,sc26_corpus
AdaptiveCpp,AdaptiveCpp/AdaptiveCpp,adaptivecpp/adaptivecpp,hpc,hpc,frame,sc26_corpus
NNPACK,Maratyszcza/NNPACK,maratyszcza/nnpack,hpc,hpc,frame,sc26_corpus
dealii,dealii/dealii,dealii/dealii,hpc,hpc,frame,sc26_corpus
ucx,openucx/ucx,openucx/ucx,hpc,hpc,frame,sc26_corpus
elmerfem,ElmerCSC/elmerfem,elmercsc/elmerfem,hpc,hpc,frame,sc26_corpus
sse2neon,DLTcollab/sse2neon,dltcollab/sse2neon,hpc,hpc,frame,sc26_corpus
envpool,sail-sg/envpool,sail-sg/envpool,hpc,hpc,frame,sc26_corpus
kernel,hermit-os/kernel,hermit-os/kernel,hpc,hpc,frame,sc26_corpus
Arraymancer,mratsim/Arraymancer,mratsim/arraymancer,hpc,hpc,frame,sc26_corpus
Trilinos,trilinos/Trilinos,trilinos/trilinos,hpc,hpc,frame,sc26_corpus
drake,ropensci/drake,ropensci/drake,hpc,hpc,frame,sc26_corpus
Kratos,KratosMultiphysics/Kratos,kratosmultiphysics/kratos,hpc,hpc,frame,sc26_corpus
targets,ropensci/targets,ropensci/targets,hpc,hpc,frame,sc26_corpus
openmc,openmc-dev/openmc,openmc-dev/openmc,hpc,hpc,frame,sc26_corpus
hdf5,HDFGroup/hdf5,hdfgroup/hdf5,hpc,hpc,frame,sc26_corpus
faasm,faasm/faasm,faasm/faasm,hpc,hpc,frame,sc26_corpus
mpi4py,mpi4py/mpi4py,mpi4py/mpi4py,hpc,hpc,frame,sc26_corpus
zfp,llnl/zfp,llnl/zfp,hpc,hpc,frame,sc26_corpus
amgcl,ddemidov/amgcl,ddemidov/amgcl,hpc,hpc,frame,sc26_corpus
hypre,hypre-space/hypre,hypre-space/hypre,hpc,hpc,frame,sc26_corpus
geant4,Geant4/geant4,geant4/geant4,hpc,hpc,frame,sc26_corpus
GPUMD,brucefan1983/GPUMD,brucefan1983/gpumd,hpc,hpc,frame,sc26_corpus
amrex,AMReX-Codes/amrex,amrex-codes/amrex,hpc,hpc,frame,sc26_corpus
mpich,pmodels/mpich,pmodels/mpich,hpc,hpc,frame,sc26_corpus
rose,llnl/rose,llnl/rose,hpc,hpc,frame,sc26_corpus
sundials,llnl/sundials,llnl/sundials,hpc,hpc,frame,sc26_corpus
prometeo,zanellia/prometeo,zanellia/prometeo,hpc,hpc,frame,sc26_corpus
dace,spcl/dace,spcl/dace,hpc,hpc,frame,sc26_corpus
rsmpi,rsmpi/rsmpi,rsmpi/rsmpi,hpc,hpc,frame,sc26_corpus
qiskit,Qiskit/qiskit,qiskit/qiskit,qc,qc,frame,sc26_corpus
Cirq,quantumlib/Cirq,quantumlib/cirq,qc,qc,frame,sc26_corpus
pennylane,PennyLaneAI/pennylane,pennylaneai/pennylane,qc,qc,frame,sc26_corpus
quantum,tensorflow/quantum,tensorflow/quantum,qc,qc,frame,sc26_corpus
qutip,qutip/qutip,qutip/qutip,qc,qc,frame,sc26_corpus
rustworkx,Qiskit/rustworkx,qiskit/rustworkx,qc,qc,frame,sc26_corpus
OpenFermion,quantumlib/OpenFermion,quantumlib/openfermion,qc,qc,frame,sc26_corpus
torchquantum,mit-han-lab/torchquantum,mit-han-lab/torchquantum,qc,qc,frame,sc26_corpus
pyquil,rigetti/pyquil,rigetti/pyquil,qc,qc,frame,sc26_corpus
openqasm,openqasm/openqasm,openqasm/openqasm,qc,qc,frame,sc26_corpus
QPanda-2,OriginQ/QPanda-2,originq/qpanda-2,qc,qc,frame,sc26_corpus
cuda-quantum,NVIDIA/cuda-quantum,nvidia/cuda-quantum,qc,qc,frame,sc26_corpus
qiskit-machine-learning,qiskit-community/qiskit-machine-learning,qiskit-community/qiskit-machine-learning,qc,qc,frame,sc26_corpus
Yao.jl,QuantumBFS/Yao.jl,quantumbfs/yao.jl,qc,qc,frame,sc26_corpus
ProjectQ,ProjectQ-Framework/ProjectQ,projectq-framework/projectq,qc,qc,frame,sc26_corpus
qdk,microsoft/qdk,microsoft/qdk,qc,qc,frame,sc26_corpus
covalent,AgnostiqHQ/covalent,agnostiqhq/covalent,qc,qc,frame,sc26_corpus
Stim,quantumlib/Stim,quantumlib/stim,qc,qc,frame,sc26_corpus
qiskit-aer,Qiskit/qiskit-aer,qiskit/qiskit-aer,qc,qc,frame,sc26_corpus
qsim,quantumlib/qsim,quantumlib/qsim,qc,qc,frame,sc26_corpus
quimb,jcmgray/quimb,jcmgray/quimb,qc,qc,frame,sc26_corpus
Grassmann.jl,chakravala/Grassmann.jl,chakravala/grassmann.jl,qc,qc,frame,sc26_corpus
blueqatSDK,blueqat/blueqatSDK,blueqat/blueqatsdk,qc,qc,frame,sc26_corpus
grove,rigetti/grove,rigetti/grove,qc,qc,frame,sc26_corpus
amazon-braket-sdk-python,amazon-braket/amazon-braket-sdk-python,amazon-braket/amazon-braket-sdk-python,qc,qc,frame,sc26_corpus
Qualtran,quantumlib/Qualtran,quantumlib/qualtran,qc,qc,frame,sc26_corpus
qibo,qiboteam/qibo,qiboteam/qibo,qc,qc,frame,sc26_corpus
qmasm,lanl/qmasm,lanl/qmasm,qc,qc,frame,sc26_corpus
ReCirq,quantumlib/ReCirq,quantumlib/recirq,qc,qc,frame,sc26_corpus
toqito,vprusso/toqito,vprusso/toqito,qc,qc,frame,sc26_corpus
Qrisp,eclipse-qrisp/Qrisp,eclipse-qrisp/qrisp,qc,qc,frame,sc26_corpus
pennylane-qiskit,PennyLaneAI/pennylane-qiskit,pennylaneai/pennylane-qiskit,qc,qc,frame,sc26_corpus
qiskit-ibm-runtime,Qiskit/qiskit-ibm-runtime,qiskit/qiskit-ibm-runtime,qc,qc,frame,sc26_corpus
catalyst,PennyLaneAI/catalyst,pennylaneai/catalyst,qc,qc,frame,sc26_corpus
QuantumToolbox.jl,qutip/QuantumToolbox.jl,qutip/quantumtoolbox.jl,qc,qc,frame,sc26_corpus
qutip-qip,qutip/qutip-qip,qutip/qutip-qip,qc,qc,frame,sc26_corpus
ompi,open-mpi/ompi,open-mpi/ompi,hpc,hpc,frame,sc26_corpus
chapel,chapel-lang/chapel,chapel-lang/chapel,hpc,hpc,frame,sc26_corpus
neanderthal,uncomplicate/neanderthal,uncomplicate/neanderthal,hpc,hpc,frame,sc26_corpus
ohpc,openhpc/ohpc,openhpc/ohpc,hpc,hpc,frame,sc26_corpus
precice,precice/precice,precice/precice,hpc,hpc,frame,sc26_corpus
Quirk,strilanc/quirk,strilanc/quirk,qc,qc,frame,sc26_corpus
qpp,softwareQinc/qpp,softwareqinc/qpp,qc,qc,frame,sc26_corpus
silq,silq-lang/silq,silq-lang/silq,qc,qc,frame,sc26_corpus
pyzx,zxcalc/pyzx,zxcalc/pyzx,qc,qc,frame,sc26_corpus
dwave-ocean-sdk,dwavesystems/dwave-ocean-sdk,dwavesystems/dwave-ocean-sdk,qc,qc,frame,sc26_corpus
qulacs,qulacs/qulacs,qulacs/qulacs,qc,qc,frame,sc26_corpus
ScaffCC,epiqc/ScaffCC,epiqc/scaffcc,qc,qc,frame,sc26_corpus
